"ID","Address","Name","Size","Organization","Description","Units","X Address","Y Address","X Units","Y Units","Scale","X Scale","Y Scale","Value min","Value max","Value min*1","Value max*1","4Z7907551R.kp","8D0907551F.kp","8D0907551G.kp"
"CLALSH","0x10717","Error class: Lambda Probe post cat Bank 1","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Lambdasonde hinter Kat","Fehlerklasse: Lambdasonde hinter Kat","Fehlerklasse: Lambdasonde hinter Kat"
"CLALSH2","0x10718","Error class: Lambda Probe post cat Bank 2","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Fehlerklasse: Lambdasonde 2 hinter Kat","Fehlerklasse: Lambdasonde 2 hinter Kat","Fehlerklasse: Lambdasonde 2 hinter Kat"
"CWDNMAX","0x10991","Codeword: Disable RPM exceeded diagnosis","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Codeword: Abschaltung Diagnose Überdrehzahl","Codeword: Abschaltung Diagnose Überdrehzahl","Codeword: Abschaltung Diagnose Überdrehzahl"
"RLDKTSO_0_A (AR 10B39)","0x1099e","Upper load curve for DKAT active","5x1","8 Bit","-","%","0x181fb","-","Upm","-","0.75","40.0","1.0","40.5","55.5","0x36","0x4a","-","Obere Lastkennlinie für DKAT-aktiv","",""
"NWPMBBR","0x109d3","Minimum RPM for acc pedal value lockout on brake operation","1x1","8 Bit","-","Upm","-","-","-","-","40.0","1.0","1.0","1200.0","1200.0","0x1e","0x1e","-","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse","Mindestdrehzahl für Pedalwertbegrenzung bei betätigter Bremse"
"TWPMBBR","0x109dc","Delay time for acc pedal value lockout on brake operation","1x1","8 Bit","-","s","-","-","-","-","0.01","1.0","1.0","2.0","2.0","0xc8","0xc8","-","Verzögerungszeit für Pedalwertbegrenzung bei betätigter Bremse","Verzögerungszeit für Pedalwertbegrenzung bei betätigter Bremse","Verzögerungszeit für Pedalwertbegrenzung bei betätigter Bremse"
"UPWGVG (AR 10B8E)","0x109ea","Pedal voltage threshold for full throttle region","1x1","8 Bit","-","V","-","-","-","-","0.019531","1.0","1.0","3.417925","3.417925","0xaf","0xaf","-","PWG-Spannungsschwelle für Vollgasbereich","PWG-Spannungsschwelle für Vollgasbereich","PWG-Spannungsschwelle für Vollgasbereich"
"VWPMBBR","0x109eb","Minimum speed for acc pedal value lockout on brake operation","1x1","8 Bit","-","km/h","-","-","-","-","1.25","1.0","1.0","3.75","3.75","0x3","0x3","-","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse","Mindestgeschwindigkeit für Pedalwertbegrenzung bei betätigter Bremse"
"KFWDKPP (RS4 109F4)","0x10a0d","Default throttle plate angle from charge signal","12x12","8 Bit","-","% DK","0x10a01","0x109f5","%","Upm","0.392157","0.75","40.0","0.0","37.254915","0x0","0x5f","-","","Ersatzwert für Drosselklappenwinkel aus Füllungssignal","Ersatzwert für Drosselklappenwinkel aus Füllungssignal"
"WDKPMXN","0x10ac5","Maximum throttle plate angle for plausibility with load signal","12x1","8 Bit","-","% DK","0x10ab9","-","Upm","-","0.392157","40.0","1.0","6.274512","37.254915","0x10","0x5f","-","","Maximaler Drosselklappenwinkel für Plausibilisierung mit Füllungssignal","Maximaler Drosselklappenwinkel für Plausibilisierung mit Füllungssignal"
"-","0x10c75","ESKONF","1x13","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","0.0","255.0","0x0","0xff","Byte0  EV6    EV3     EV4     EV1
Byte1  XX     N205    N335    N80
Byte2  XX     J17     V144    XX
Byte3  XX     XX      XX      J299
Byte4  EV5    N112    XX      N208
Byte5  HSH2   N249    EV2     N75
Byte6  XX     BKV     HSH     XX
Byte7  XX     XX      XX      XX
Byte8  ZUE    ZUE     ZUE     ZUE
Byte10 ZUE    ZUE     ZUE     ZUE
Byte11 XX     XX      XX      XX
Byte12 XX     XX      XX      XX","","",""
"KFKHFM (AR 10CCE)","0x10ca1","Correction map for MAF","14x14","8 Bit","-","-","0x10c93","0x10c85","%","Upm","0.007813","0.75","40.0","0.9297470000000001","1.09382","0x77","0x8c","-","Korrekturkennfeld für HFM","Korrekturkennfeld für HFM","Korrekturkennfeld für HFM"
"CWBGMSZS","0x10d69","Codeword: BGMSZS","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","2.0","2.0","0x2","0x2","-","Codewort für die BGMSZS","Codewort für die BGMSZS","Codewort für die BGMSZS"
"KUMSRL (AR 10D97)","0x10d6c","Conversion constant from MAF to relative charge","1x1","8 Bit","-","(kg/h)/(1/min)(%)","-","-","-","-","7.8125E-6","1.0","1.0","0.001046875","0.001046875","0x86","0x86","-","Umrechnungskonstante von Massenstrom in relative Luftfüllung","Umrechnungskonstante von Massenstrom in relative Luftfüllung","Umrechnungskonstante von Massenstrom in relative Luftfüllung"
"KUMSRL (AR 10D97)","0x10d6c","Conversion constant from MAF to relative charge (l)","1x1","8 Bit","-","l","-","-","-","-","0.0199325","1.0","1.0","2.6709549999999997","2.6709549999999997","0x86","0x86","-","Umrechnungskonstante von Massenstrom in relative Luftfüllung","Umrechnungskonstante von Massenstrom in relative Luftfüllung","Umrechnungskonstante von Massenstrom in relative Luftfüllung"
"KVLAD","0x10d6d","Constant for calculation from pressure in air mass","1x1","8 Bit","-","%","-","-","-","-","0.0039065","1.0","1.0","0.203138","0.203138","0x34","0x34","2x","Konstante für Umrechnung von Ladedruck in Luftmasse","Konstante für Umrechnung von Ladedruck in Luftmasse","Konstante für Umrechnung von Ladedruck in Luftmasse"
"LADFIL","0x10d6e","Boost pressure filtering","1x1","8 Bit","-","-","-","-","-","-","0.001953","1.0","1.0","0.10155600000000001","0.10155600000000001","0x34","0x34","2x","Ladedruckfilterung","Ladedruckfilterung","Ladedruckfilterung"
"MSALLMN","0x10d6f","Minimum idle air mass adaption for exhaust gas","1x1","8 Bit","-","kg/h","-","-","-","-","0.1","1.0","1.0","3.0","3.0","0x1e","0x1e","-","Minimale Leerlaufluftmassenadaption für E-Gas","Minimale Leerlaufluftmassenadaption für E-Gas","Minimale Leerlaufluftmassenadaption für E-Gas"
"DPUPS","0x10d95","Pressure difference for switchover of reference pressure before throttle plate","1x1","8 Bit","-","hPa","-","-","-","-","10.0","1.0","1.0","300.0","300.0","0x1e","0x1e","-","Druckdifferenz für Umschaltung Referenzdruck vor Drosselklappe","Druckdifferenz für Umschaltung Referenzdruck vor Drosselklappe","Druckdifferenz für Umschaltung Referenzdruck vor Drosselklappe"
"CWLAMKH (AR 10EBB)","0x10e52","Codeword: Lambda coordination during cat heating","1x1","8 Bit","1:1 conversion (dec/hex)","-","-","-","-","-","1.0","1.0","1.0","1.0","1.0","0x1","0x1","-","Codewort Lambdakoordination bei Kat-heizen","Codewort Lambdakoordination bei Kat-heizen","Codewort Lambdakoordination bei Kat-heizen"
"KFHSTT (AR 10F10)","0x10ebc","Hot start enrichment factor","6x1","8 Bit","-","-","0x10eb6","-","Grad C","%","0.25","0.75","0.75","1.5","2.0","0x6","0x8","-","Faktor Heißstart","Faktor Heißstart",""
"KFWKSTT","0x10f23","Weighting map for cold start factor","6x12","8 Bit","-","-","0x10f1d","0x10f11","-","Grad C","0.007813","1.0","0.75","0.398463","1.000064","0x33","0x80","-","","Wichtungskennfeld Kaltstart","Wichtungskennfeld Kaltstart"
"KRDWA","0x1109d","Knock control adaptation to differential current ZW map","1x1","8 Bit","-","Grad KW","-","-","-","-","0.75","1.0","1.0","2.25","2.25","0x3","0x3","-","Klopfregelung Differenz aktueller ZW zu Adaptionskennfeld","Klopfregelung Differenz aktueller ZW zu Adaptionskennfeld","Klopfregelung Differenz aktueller ZW zu Adaptionskennfeld"
"FRK_AOG","0x110df","Upper adaptation limit factor base-adaptation","1x1","8 Bit","-","-","-","-","-","-","0.001953","1.0","1.0","1.19919","1.19919","0xe6","0xe6","-","oberer Grenzwert Anpassung Faktor Grundanpassung","oberer Grenzwert Anpassung Faktor Grundanpassung","oberer Grenzwert Anpassung Faktor Grundanpassung"
"FRK_AUG","0x110e0","Lower adaptation limit factor base-adaptation","1x1","8 Bit","-","-","-","-","-","-","0.001953","1.0","1.0","0.900381","0.900381","0x4d","0x4d","-","unterer Grenzwert Anpassung Faktor Grundanpassung","unterer Grenzwert Anpassung Faktor Grundanpassung","unterer Grenzwert Anpassung Faktor Grundanpassung"
"-","0x110f9","Engine ID","16x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","32.0","108.0","0x20","0x6c","-","","",""
"-","0x1110d","SW Version","4x1","8 Bit","-","-","-","-","-","-","1.0","1.0","1.0","48.0","50.0","0x30","0x32","-","","",""
"SDLDSUA","0x11119","Threshhold for dynamic bypass valve control active","16x1","8 Bit","-","hPa","-","-","hPa","-","20.0","160.0","1.0","700.0","1200.0","0x23","0x3c","1/2 map, axis hacked in asm
","Schwelle für dynamische Schubumluftventilsteuerung aktiv","Schwelle für dynamische Schubumluftventilsteuerung aktiv","Schwelle für dynamische Schubumluftventilsteuerung aktiv"
"KFVPLGU","0x11129","Basic boost pressure ratio","8x8","8 Bit","-","-","0x156ae","0x12ab6","hPa","U/min","0.007813","0.039063","0.25","1.000064","1.000064","0x80","0x80","hPa axis data is odd because it is unused, since CWPLGU bit 0 disables this path","Kennfeld für Grundladedruckverhältnis LDR","","Kennfeld für Grundladedruckverhältnis LDR"
"KFMRES","0x112ab","Torque reserve in idle and near idle area","4x6","8 Bit","-","%","0x12a9e","0x12aa8","%","U/min","0.097647","0.00152587890625","0.25","0.0","1.757646","0x0","0x12","-","LLR: Basis Momentenreserve im LL und ll-nahem Bereich","LLR: Basis Momentenreserve im LL und ll-nahem Bereich","LLR: Basis Momentenreserve im LL und ll-nahem Bereich"
"KFMRESK","0x112c3","Torque reserve in idle and near idle area, clutch disengaged","4x6","8 Bit","-","%","0x12a9e","0x12aa8","%","U/min","0.097647","0.00152587890625","0.25","0.0","3.515292","0x0","0x24","-","LLR: Basis Momentenreserve im LL und ll-nahem Bereich,ausgekuppelt","LLR: Basis Momentenreserve im LL und ll-nahem Bereich,ausgekuppelt","LLR: Basis Momentenreserve im LL und ll-nahem Bereich,ausgekuppelt"
"KFZWOP (AR 116AE)","0x1140e","Optimal ignition angle","11x16","8 Bit","-","grad KW","0x162e8","0x12b04","%","U/min","0.75","0.023438","0.25","2.25","46.5","0x3","0x3e","-","optimaler Zündwinkel","optimaler Zündwinkel","optimaler Zündwinkel"
"KFZWOP2 (AR 1175E)","0x114be","Optimal ignition angle (variant 2)","11x16","8 Bit","-","grad KW","0x162e8","0x12b04","%","U/min","0.75","0.023438","0.25","4.5","48.75","0x6","0x41","-","optimaler Zündwinkel Variante 2","optimaler Zündwinkel Variante 2","optimaler Zündwinkel Variante 2"
"MDIMX","0x1156f","Maximum indicated engine torque","1x1","8 Bit","-","%","-","-","-","-","0.390625","1.0","1.0","99.21875","99.21875","0xfe","0xfe","-","Maximales indiziertes Motormoment","Maximal erreichbares indiziertes Motormoment","Maximales indiziertes Motormoment"
"NMXDAEF","0x11577","Maximum engine speed for throttle body motor backup operation","6x1","8 Bit","-","Upm","0x11571","-","% PED","-","40.0","0.392157","1.0","1200.0","3600.0","0x1e","0x5a","-","","Maximaldrehzahl für Drosselklappen-Antrieb-Ersatz-Funktion","Maximaldrehzahl bei Drosselklappen-Antrieb-Ersatzbetrieb"
"VNMX","0x1157e","Vehicle speed threshold for activating the raised maximum engine speed","1x1","8 Bit","-","km/h","-","-","-","-","1.25","1.0","1.0","20.0","20.0","0x10","0x10","-","Geschwindigkeits-Schwelle für Aktivierung der erhöhten Drehzahlgrenze","Geschwindigkeitsschwelle für Aktivierung der erhöhten Drehzahlschwelle","Geschwindigkeits-Schwelle für Aktivierung der erhöhten Drehzahlgrenze"
"CWMSRCAN","0x11585","Codewort für MSR/ASR über CAN","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","2.0","2.0","0x2","0x2","-","Codewort für MSR/ASR über CAN","Codewort für MSR/ASR über CAN","Codewort für MSR/ASR über CAN"
"DBZ_MN","0x11586","kleinstes zulässiges Delta des Botschaftszählers in der Funktion","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","kleinstes zulässiges Delta des Botschaftszählers in der Funktion","kleinstes zulässiges Delta des Botschaftszählers in der Funktion","kleinstes zulässiges Delta des Botschaftszählers in der Funktion"
"DBZ_MX","0x11587","Größtes zulässiges Delta des Botschaftszählers in der Funktion","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Größtes zulässiges Delta des Botschaftszählers in der Funktion","Größtes zulässiges Delta des Botschaftszählers in der Funktion","Größtes zulässiges Delta des Botschaftszählers in der Funktion"
"KLDMASRL","0x1158e","Stellreserve bei ASR-Eingriff","5x1","8 Bit","-","%","0x11589","-","Upm","-","0.390625","40.0","1.0","0.0","0.0","0x0","0x0","-","Stellreserve bei ASR-Eingriff","Stellreserve bei ASR-Eingriff","Stellreserve bei ASR-Eingriff"
"NOASR","0x11593","Wert für inaktiver ASR-Botschaft","1x1","8 Bit","-","%","-","-","-","-","0.390625","1.0","1.0","99.21875","99.21875","0xfe","0xfe","-","Wert für inaktiver ASR-Botschaft","Wert für inaktiver ASR-Botschaft","Wert für inaktiver ASR-Botschaft"
"TMSRCERR","0x11594","Entprellzeit für irreversible ASR/MSR-Abschaltung bei Botschaftsfehler","1x1","8 Bit","-","s","-","-","-","-","0.01","1.0","1.0","0.06","0.06","0x6","0x6","-","Entprellzeit für irreversible ASR/MSR-Abschaltung bei Botschaftsfehler","Entprellzeit für irreversible ASR/MSR-Abschaltung bei Botschaftsfehler","Entprellzeit für irreversible ASR/MSR-Abschaltung bei Botschaftsfehler"
"TMSRCNU","0x11595","Entprellzeit zur Berücksichtigung von Rasterversätzen im Botschaftszähler","1x1","8 Bit","-","s","-","-","-","-","0.01","1.0","1.0","0.07","0.07","0x7","0x7","-","Entprellzeit zur Berücksichtigung von Rasterversätzen im Botschaftszähler","Entprellzeit zur Berücksichtigung von Rasterversätzen im Botschaftszähler","Entprellzeit zur Berücksichtigung von Rasterversätzen im Botschaftszähler"
"T_NOMASR","0x11596","Filterzeit bis Erkennung der Kommunikationsunterbrechung zu Knoten ASR","1x1","8 Bit","-","s","-","-","-","-","0.01","1.0","1.0","0.05","0.05","0x5","0x5","-","Filterzeit bis Erkennung der Kommunikationsunterbrechung zu Knoten ASR","DCAN Fehlerzeit ASR Botschaft","Filterzeit bis Erkennung der Kommunikationsunterbrechung zu Knoten ASR"
"T_NOMASRTA","0x11597","DCAN Timeoutzeit ASR Botschaft","1x1","8 Bit","-","s","-","-","-","-","0.1","1.0","1.0","0.5","0.5","0x5","0x5","-","DCAN Timeoutzeit ASR Botschaft","DCAN Timeoutzeit ASR Botschaft","DCAN Timeoutzeit ASR Botschaft"
"T_NOMBR3","0x11598","CAN : Timeoutzeit für Botschaft Bremse 3","1x1","8 Bit","-","s","-","-","-","-","0.01","1.0","1.0","0.5","0.5","0x32","0x32","-","CAN : Timeoutzeit für Botschaft Bremse 3","CAN : Timeoutzeit für Botschaft Bremse 3","CAN : Timeoutzeit für Botschaft Bremse 3"
"KFMIZUFIL","0x11599","Allowable indicated torque to torque limit before filter","8x8","8 Bit","-","%","0x1008e","0x1017d","Upm","% PED","0.390625","40.0","0.392157","3.125","99.609375","0x8","0xff","-","","Zulässiges indiziertes Moment zur Momentenbegrenzung vor Filter","Zulässiges indiziertes Moment zur Momentenbegrenzung vor Filter"
"KFMIZUNS","0x115d9","Allowable torque on afterstart extension","8x8","8 Bit","-","%","0x1008e","0x1017d","Upm","% PED","0.390625","40.0","0.392157","6.25","99.609375","0x10","0xff","-","","Zulässiges Moment bei Nachstartaufweitung","Zulässiges Moment bei Nachstartaufweitung"
"KFMIZUOF","0x11619","Allowed indicated torque for torque limiting","8x8","8 Bit","-","%","0x1008e","0x1166d","Upm","%","0.390625","40.0","0.390625","0.0","89.453125","0x0","0xe5","-","","Zulässiges indiziertes Moment zur Momentenbegrenzung","Zulässiges indiziertes Moment zur Momentenbegrenzung"
"TMNSMN","0x11676","Minimum motor temperature threshold for the post-start widening","1x1","8 Bit","-","Grad C","-","-","-","-","0.75","1.0","1.0","50.25","50.25","0x83","0x83","-","Motortemperaturschwelle für die Nachstartaufweitung","Motortemperaturschwelle für die Nachstartaufweitung","Motortemperaturschwelle für die Nachstartaufweitung"
"CW_NOROMCHKRESET (AR 11F6B)","0x11a24","Codeword: No ROM check reset","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","0x11a23","0x11a22","-","-","1.0","1.0","1.0","0.0","0.0","0x0","0x0","-","","",""
"CLRKA","0x11a72","Codeword for O2-cat-cleaning","1x1","8 Bit","1 : 1 Umrechnug (dez/hex)","-","-","-","-","-","1.0","1.0","1.0","3.0","3.0","0x3","0x3","-","Codewort für Funktion O2-Kat-Ausräumen","Codewort für Funktion O2-Kat-Ausräumen","Codewort für Funktion O2-Kat-Ausräumen"
